record_key,doi,first_author,year,title,source,decision,exclude_reason,maps_to_study_key,screened_by,notes
death2012,10.1073/pnas.1208909109,De’ath,2012,The 27–year decline of coral cover on the Great Barrier Reef and its causes,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
kim2006,NR,Kim,2006,Histological techniques for marine bivalve molluscs: update,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
loosanoff1963,10.1016/s0065-2881(08)60257-6,Loosanoff,1963,Rearing of Bivalve Mollusks,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
peck2004,10.1111/j.0269-8463.2004.00903.x,Peck,2004,Extreme sensitivity of biological function to temperature in Antarctic marine species,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
tegner2000,10.1006/jmsc.2000.0715,Tegner,2000,Ecosystem effects of fishing in kelp forest communities,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
amelia2021,10.1186/s40645-020-00405-4,Amelia,2021,Marine microplastics as vectors of major ocean pollutants and its hazards to the marine ecosystem and humans,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
dupont2012,10.1007/s00227-012-1921-x,Dupont,2012,Long-term and trans-life-cycle effects of exposure to ocean acidification in the green sea urchin Strongylocentrotus droebachiensis,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
jones2008,10.1098/rspb.2008.0069,Jones,2008,A community change in the algal endosymbionts of a scleractinian coral following a natural bleaching event: field evidence of acclimatization,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
eakin2010,10.1371/journal.pone.0013969,Eakin,2010,"Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
reeburgh2007,10.1021/cr050362v,Reeburgh,2007,Oceanic Methane Biogeochemistry,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
carton2008,10.1175/2007mwr1978.1,Carton,2008,A Reanalysis of Ocean Climate Using Simple Ocean Data Assimilation (SODA),openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
prtner2010,10.1242/jeb.037523,Pörtner,2010,Oxygen- and capacity-limitation of thermal tolerance: a matrix for integrating climate-related stressor effects in marine ecosystems,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
rochman2015,10.1038/srep14340,Rochman,2015,Anthropogenic debris in seafood: Plastic debris and fibers from textiles in fish and bivalves sold for human consumption,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
takeuchi2012,10.1093/dnares/dss005,Takeuchi,2012,Draft Genome of the Pearl Oyster Pinctada fucata: A Platform for Understanding Bivalve Biology,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
barber2004,10.1051/alr:2004052,Barber,2004,Neoplastic diseases of commercially important marine bivalves,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
leung2022,10.1002/smll.202107407,Leung,2022,Is Ocean Acidification Really a Threat to Marine Calcifiers? A Systematic Review and Meta‐Analysis of 980+ Studies Spanning Two Decades,openalex,exclude,review,,auto-screen,title indicates review/perspective
hofmann2010,10.1146/annurev.ecolsys.110308.120227,Hofmann,2010,The Effect of Ocean Acidification on Calcifying Organisms in Marine Ecosystems: An Organism-to-Ecosystem Perspective,openalex,exclude,review,,auto-screen,title indicates review/perspective
ross2016,10.1093/icesjms/fsv254,Ross,2016,Transgenerational responses of molluscs and echinoderms to changing ocean conditions,openalex,exclude,not-marine,,auto-screen,priming language but not marine taxon
sebille2020,10.1088/1748-9326/ab6d7d,Sebille,2020,The physical oceanography of the transport of floating marine debris,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
foerder1977,10.1073/pnas.74.10.4214,Foerder,1977,Release of ovoperoxidase from sea urchin eggs hardens the fertilization membrane with tyrosine crosslinks,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
utting1997,10.1016/s0044-8486(97)00108-7,Utting,1997,Techniques for the hatchery conditioning of bivalve broodstocks and the subsequent effect on egg quality and larval viability,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
lajeunesse2018,10.1016/j.cub.2018.07.008,LaJeunesse,2018,Systematic Revision of Symbiodiniaceae Highlights the Antiquity and Diversity of Coral Endosymbionts,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
spalding2001,NR,Spalding,2001,World atlas of coral reefs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bauer2013,10.1038/nature12857,Bauer,2013,The changing carbon cycle of the coastal ocean,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bishop2017,10.1016/j.jembe.2017.01.021,Bishop,2017,Effects of ocean sprawl on ecological connectivity: impacts and solutions,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
sunda1997,10.1038/37093,Sunda,1997,"Interrelated influence of iron, light and cell size on marine phytoplankton growth",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
landrigan2020,10.5334/aogh.2831,Landrigan,2020,Human Health and Ocean Pollution,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
putnam2015,10.1242/jeb.123018,Putnam,2015,Preconditioning in the reef-building coral<i>Pocillopora damicornis</i>and the potential for trans-generational acclimatization in coral larvae under future climate change conditions,openalex,include,,putnam2015,auto-screen,auto: strong priming/TGP title + marine + experimental cues
haney1971,10.1175/1520-0485(1971)001<0241:stbcfo>2.0.co;2,Haney,1971,Surface Thermal Boundary Condition for Ocean Circulation Models,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
